canton,fuel_type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
FR,% EV vs Fossil,0.00732272893698385,0.0157955424979071,0.0192575817099192,0.0197090638952691,0.0199572766448122,0.0180493686330852,0.0162354851233544,0.0172370997545437,0.0175475301851264,0.0157151369508706,0.0178822327244859,0.0229678140227816,0.0193483242537291,0.0189420845764076,0.0231568587721076,0.0210325265180368,0.0226902940883483,0.0228697134207102,0.0284292821606254,0.0295215507320344,0.0348041886084377,0.0503374564434388,0.0723024795497399,0.0913667637246261,0.120866631789728,0.156670143335578,0.197795866066399,0.245573764958058,0.294306884456529,0.447740999052856,0.685884892376591,1.17507601917229,1.98019801980198,2.8126086769642,3.57467504719876
GE,Fossil,231657,235806,235837,234877,237998,241962,245934,249627,254061,259041,267578,274993,280074,284358,287879,290118,288641,288056,285148,284151,287479,291286,294567,294356,295832,299157,301035,302228,302539,301885,302666,302272,299149,297911,296231
GE,Electricity,54,65,72,89,85,81,77,82,91,93,90,95,94,90,82,84,96,97,149,210,242,308,421,475,548,651,789,991,1267,1677,2386,3611,5059,6514,8083
GE,% EV vs Fossil,0.0233103251790362,0.0275650322722916,0.0305295606711415,0.0378921733503068,0.0357145858368558,0.033476330994123,0.0313092130408972,0.0328490107240002,0.0358181696521702,0.035901652634139,0.0336350522090755,0.0345463339066813,0.0335625584666909,0.0316502437068765,0.0284841895379656,0.0289537360660145,0.0332593082756781,0.0336740078318105,0.0522535665689396,0.0739043677481339,0.0841800618479959,0.105738003199605,0.14292164431182,0.161369226378943,0.185240271505449,0.217611488282073,0.262095769594898,0.327898143123734,0.418788982577453,0.555509548337943,0.788327727594114,1.19461941562566,1.69113050687116,2.18655907301174,2.7286138182702
GL,Fossil,19401,20368,20602,20772,21207,21848,19800,22285,22485,22898,23224,23765,24435,24947,25368,25560,24811,25288,25498,26814,27541,28322,29036,29585,30095,30628,30962,31413,31762,31992,32462,32958,32668,33014,33092
GL,Electricity,53,63,65,63,66,63,57,57,58,50,48,52,52,53,48,42,38,34,37,36,37,40,50,57,72,91,102,109,143,176,228,369,551,744,938
GL,% EV vs Fossil,0.273181794752848,0.309308719560094,0.315503349189399,0.303292894280763,0.311217994058566,0.288355913584768,0.287878787878788,0.255777428763742,0.25794974427396,0.218359682068303,0.206682741991044,0.218809173153798,0.21280949457745,0.212450394837055,0.189214758751183,0.164319248826291,0.15315787352384,0.134451123062322,0.145109420346694,0.134258223316178,0.134345158127882,0.141232963773745,0.172200027552004,0.192665201960453,0.239242399069613,0.297113752122241,0.329436082940379,0.346990099640276,0.450223537560607,0.550137534383596,0.702359682089828,1.1196067722556,1.68666585037345,2.25358938632096,2.83452193883718
GR,Fossil,97128,100192,102246,104051,106424,109054,110918,111710,113532,116010,117884,119869,121947,123959,125552,128364,131345,132141,136925,140830,139882,142963,145983,147900,150109,152381,154481,156483,158153,159355,161235,163442,162746,164540,164968
GR,Electricity,25,33,40,48,50,51,57,59,62,67,60,56,60,63,57,62,66,71,76,87,95,118,151,182,230,307,399,519,667,912,1217,1848,2743,3910,5061
GR,% EV vs Fossil,0.0257392307058727,0.0329367614180773,0.0391213348199441,0.0461312241112531,0.0469818837856123,0.0467658224365911,0.0513893146288249,0.0528153253961149,0.0546101539654018,0.05775364192742,0.0508974924502053,0.0467176667862417,0.0492017023789023,0.050823256076606,0.0453995157384988,0.0483001464585086,0.0502493433324451,0.0537304848608683,0.0555048384151908,0.0617766100972804,0.0679143849816274,0.0825388387205081,0.10343670153374,0.123056118999324,0.153221992019133,0.201468687041035,0.258284190288773,0.331665420524913,0.421743501545971,0.572307113049481,0.754798896021335,1.13067632554668,1.68544849028548,2.37632186702322,3.06786770767664
