,year,GDP,Name,pop,pollution,temp,precip,Canton,% EV vs Fossil,Electricity,Fossil
124,2009,-2.0992,GE_Meyrin_suburban,446106.0,,5.8,1025.8,GE,0.0739043677481339,210.0,284151.0
125,2009,-2.4398,LU_Rigi_rural,368742.0,,5.8,1400.8,LU,0.054627432755261,134.0,245298.0
126,2009,-7.7377,NE_Chaumont_rural,170924.0,,5.8,998.8,NE,0.0818654527789273,91.0,111158.0
127,2009,-3.8407,TG_Taenikon_rural,241811.0,,5.8,975.1,TG,0.0730579610187243,143.0,195735.0
128,2009,-2.2744,TI_Lugano_urban,332736.0,,5.8,2247.7,TI,0.166365307090349,449.0,269888.0
129,2009,2.1038,VD_Lausanne_urban,688245.0,,5.8,978.3,VD,0.0686647366707349,310.0,451469.0
130,2009,1.5185,VS_Saxon_rural,303241.0,,5.8,717.6,VS,0.400806686876118,948.0,236523.0
131,2009,-1.8587,ZH_Zuerich_urban,1332727.0,,5.8,1118.1,ZH,0.0834696551278152,697.0,835034.0
132,2010,2.9765,BE_Bern_urban,974186.0,,4.68,993.0,BE,0.263625379811948,1763.0,668752.0
133,2010,2.7039,BL_BaselBinningen_suburban,272815.0,,4.68,1198.1,BL,0.102564680556103,182.0,177449.0
134,2010,3.9828,BS_Basel_urban,187898.0,,4.68,1198.1,BS,0.148660862946577,125.0,84084.0
135,2010,3.2554,GE_Meyrin_suburban,453292.0,,4.68,1007.0,GE,0.0841800618479959,242.0,287479.0
136,2010,5.9697,LU_Rigi_rural,372964.0,,4.68,1533.6,LU,0.0701295613930821,177.0,252390.0
137,2010,2.9532,NE_Chaumont_rural,171647.0,,4.68,961.3,NE,0.0833163450714837,94.0,112823.0
138,2010,5.2281,TG_Taenikon_rural,244805.0,,4.68,963.5,TG,0.0856978139266738,165.0,192537.0
139,2010,2.4531,TI_Lugano_urban,335720.0,,4.68,2390.2,TI,0.166076052634454,456.0,274573.0
140,2010,4.6104,VD_Lausanne_urban,701526.0,,4.68,958.0,VD,0.072161295619334,334.0,462852.0
141,2010,3.1476,VS_Saxon_rural,307392.0,,4.68,648.1,VS,0.411281331296197,996.0,242170.0
142,2010,1.7347,ZH_Zuerich_urban,1351297.0,,4.68,1189.8,ZH,0.108282873985364,919.0,848703.0
143,2011,0.9864,BE_Bern_urban,979754.0,,6.62,832.5,BE,0.484416914309997,3283.0,677722.0
144,2011,2.3407,BL_BaselBinningen_suburban,274404.0,,6.62,948.1,BL,0.109940754149153,198.0,180097.0
145,2011,8.71,BS_Basel_urban,184950.0,,6.62,948.1,BS,0.154284637489989,131.0,84908.0
146,2011,0.0818,GE_Meyrin_suburban,457715.0,,6.62,1021.7,GE,0.105738003199605,308.0,291286.0
147,2011,1.0807,LU_Rigi_rural,377610.0,,6.62,1211.1,LU,0.0968259601586248,251.0,259228.0
148,2011,8.5294,NE_Chaumont_rural,172085.0,,6.62,955.3,NE,0.0860136579262889,99.0,115098.0
149,2011,3.1803,TG_Taenikon_rural,248444.0,,6.62,856.2,TG,0.0956422376256563,190.0,198657.0
150,2011,1.8031,TI_Lugano_urban,333753.0,,6.62,1728.0,TI,0.189566029197444,532.0,280641.0
151,2011,2.8326,VD_Lausanne_urban,713281.0,,6.62,912.8,VD,0.0822991426117527,390.0,473881.0
152,2011,1.8104,VS_Saxon_rural,312684.0,,6.62,692.9,VS,0.426687820767077,1065.0,249597.0
153,2011,0.8568,ZH_Zuerich_urban,1373068.0,,6.62,964.9,ZH,0.131014617438474,1133.0,864789.0
154,2012,0.1286,BE_Bern_urban,985000.0,,5.82,1190.0,BE,0.746890258882223,5138.0,687919.0
155,2012,-1.336,BL_BaselBinningen_suburban,275360.0,,5.82,1424.7,BL,0.139863975427819,255.0,182320.0
156,2012,-2.3053,BS_Basel_urban,186255.0,,5.82,1424.7,BS,0.16610716816318,143.0,86089.0
157,2012,2.196,GE_Meyrin_suburban,460534.0,,5.82,1288.1,GE,0.14292164431182,421.0,294567.0
158,2012,1.0806,LU_Rigi_rural,381966.0,,5.82,1713.1,LU,0.115738131204954,308.0,266118.0
159,2012,2.9643,NE_Chaumont_rural,173183.0,,5.82,1443.1,NE,0.101395681736848,119.0,117362.0
160,2012,1.621,TG_Taenikon_rural,251973.0,,5.82,1068.0,TG,0.135074510415854,277.0,205072.0
161,2012,1.226,TI_Lugano_urban,336943.0,,5.82,1888.7,TI,0.184915250090011,529.0,286077.0
162,2012,1.2184,VD_Lausanne_urban,725944.0,,5.82,1269.8,VD,0.114285949623577,555.0,485624.0
163,2012,0.1374,VS_Saxon_rural,317022.0,,5.82,948.4,VS,0.437788913491046,1127.0,257430.0
164,2012,1.6332,ZH_Zuerich_urban,1392396.0,,5.82,1379.7,ZH,0.189114527032386,1669.0,882534.0
165,2013,1.4936,BE_Bern_urban,992567.0,,5.27,1196.9,BE,0.925395123796857,6457.0,697756.0
166,2013,1.4872,BL_BaselBinningen_suburban,276537.0,,5.27,1345.8,BL,0.156777485223585,287.0,183062.0
167,2013,2.0532,BS_Basel_urban,187425.0,,5.27,1345.8,BS,0.188418687388821,161.0,85448.0
168,2013,2.0344,GE_Meyrin_suburban,463101.0,,5.27,1464.8,GE,0.161369226378943,475.0,294356.0
169,2013,2.6576,LU_Rigi_rural,386082.0,,5.27,1492.9,LU,0.137742568714759,374.0,271521.0
170,2013,1.6708,NE_Chaumont_rural,174554.0,,5.27,1407.8,NE,0.10670565203875,127.0,119019.0
171,2013,1.8461,TG_Taenikon_rural,256213.0,,5.27,1056.8,TG,0.168741777413389,354.0,209788.0
172,2013,3.6227,TI_Lugano_urban,341652.0,,5.27,2218.8,TI,0.188680542190207,549.0,290968.0
173,2013,1.4236,VD_Lausanne_urban,734356.0,,5.27,1484.9,VD,0.136086658039745,672.0,493803.0
174,2013,0.7648,VS_Saxon_rural,321732.0,,5.27,826.7,VS,0.448981773478005,1176.0,261926.0
175,2013,1.9135,ZH_Zuerich_urban,1408575.0,,5.27,1252.0,ZH,0.244801466793974,2187.0,893377.0
176,2014,2.0685,BE_Bern_urban,1001232.0,27.32776203966006,6.51,1199.3,BE,1.06329135398936,7521.0,707332.0
177,2014,4.0483,BL_BaselBinningen_suburban,278656.0,17.398630136986302,6.51,1148.1,BL,0.194004766356655,359.0,185047.0
178,2014,4.8645,BS_Basel_urban,189335.0,18.96510989010989,6.51,1148.1,BS,0.217877615696509,187.0,85828.0
179,2014,1.1768,GE_Meyrin_suburban,469433.0,18.474504249291783,6.51,1192.4,GE,0.185240271505449,548.0,295832.0
180,2014,2.5553,LU_Rigi_rural,390349.0,7.619263456090652,6.51,1462.0,LU,0.176505338385949,490.0,277612.0
181,2014,2.5963,NE_Chaumont_rural,176402.0,7.908498583569404,6.51,1147.8,NE,0.124129833095697,148.0,119230.0
182,2014,1.7213,TG_Taenikon_rural,260278.0,15.251558073654392,6.51,943.2,TG,0.206143351062592,443.0,214899.0
183,2014,2.4781,TI_Lugano_urban,346539.0,18.10630136986301,6.51,3089.1,TI,0.21926342355004,649.0,295991.0
184,2014,2.6627,VD_Lausanne_urban,749373.0,20.21534090909091,6.51,1272.2,VD,0.157065561434731,789.0,502338.0
185,2014,0.7065,VS_Saxon_rural,327011.0,16.73076923076923,6.51,844.9,VS,0.460157757667735,1228.0,266865.0
186,2014,2.7983,ZH_Zuerich_urban,1425538.0,18.617403314917127,6.51,1157.6,ZH,0.310560725416711,2805.0,903205.0
187,2014,2.7983,ZH_Zuerich_urban,1425538.0,22.243142857142857,6.51,1157.6,ZH,0.310560725416711,2805.0,903205.0
188,2015,0.0443,BE_Bern_urban,1009370.0,,6.67,875.0,BE,1.16338457416524,8337.0,716616.0
189,2015,4.7816,BL_BaselBinningen_suburban,281301.0,,6.67,998.4,BL,0.253926505650533,475.0,187062.0
190,2015,7.0768,BS_Basel_urban,190580.0,,6.67,998.4,BS,0.261271757935247,222.0,84969.0
191,2015,1.0681,GE_Meyrin_suburban,477385.0,,6.67,1214.6,GE,0.217611488282073,651.0,299157.0
192,2015,2.488,LU_Rigi_rural,394604.0,,6.67,1263.6,LU,0.225848959544497,641.0,283818.0
193,2015,2.476,NE_Chaumont_rural,177327.0,,6.67,976.5,NE,0.158178053830228,191.0,120750.0
194,2015,0.3071,TG_Taenikon_rural,263733.0,,6.67,792.7,TG,0.259906379272807,573.0,220464.0
195,2015,1.1519,TI_Lugano_urban,350363.0,,6.67,1797.6,TI,0.261600850950672,787.0,300840.0
196,2015,1.5928,VD_Lausanne_urban,761446.0,,6.67,907.4,VD,0.191400843023938,979.0,511492.0
197,2015,2.274,VS_Saxon_rural,331763.0,,6.67,759.6,VS,0.492415915585843,1344.0,272940.0
198,2015,1.7293,ZH_Zuerich_urban,1446354.0,,6.67,921.9,ZH,0.439350048460918,4048.0,921361.0
199,2016,-0.0553,BE_Bern_urban,1017434.0,20.433742561983472,6.07,1261.7,BE,1.20522217069348,8758.0,726671.0
200,2016,1.5498,BL_BaselBinningen_suburban,283231.0,14.38328890410959,6.07,1370.7,BL,0.330721723556791,626.0,189283.0
201,2016,10.1866,BS_Basel_urban,191817.0,17.46971572413793,6.07,1370.7,BS,0.311490136145689,267.0,85717.0
202,2016,1.1793,GE_Meyrin_suburban,484736.0,17.024627671232874,6.07,1341.6,GE,0.262095769594898,789.0,301035.0
203,2016,2.2546,LU_Rigi_rural,398762.0,7.323443561643836,6.07,1455.3,LU,0.304207454981786,881.0,289605.0
204,2016,-1.6498,NE_Chaumont_rural,178107.0,7.277515405777167,6.07,1287.6,NE,0.186004588659456,227.0,122040.0
205,2016,2.4599,TG_Taenikon_rural,267429.0,12.342223561643836,6.07,1091.2,TG,0.318831956020729,718.0,225197.0
206,2016,0.4278,TI_Lugano_urban,351946.0,16.357618767123288,6.07,1887.1,TI,0.296267100228277,902.0,304455.0
207,2016,3.237,VD_Lausanne_urban,773407.0,16.72630950413223,6.07,1373.3,VD,0.240695847276276,1253.0,520574.0
208,2016,0.6974,VS_Saxon_rural,335696.0,15.369266117969822,6.07,887.0,VS,0.535737338095443,1494.0,278868.0
209,2016,1.4892,ZH_Zuerich_urban,1466424.0,15.70976904109589,6.07,1277.1,ZH,0.510197524835182,4764.0,933756.0
210,2016,1.4892,ZH_Zuerich_urban,1466424.0,17.3544825,6.07,1277.1,ZH,0.510197524835182,4764.0,933756.0
211,2017,1.0315,BE_Bern_urban,1026464.0,,6.19,985.1,BE,1.23340020497612,9050.0,733744.0
212,2017,1.4865,BL_BaselBinningen_suburban,285624.0,13.690007650273223,6.19,1178.6,BL,0.40077643894961,766.0,191129.0
213,2017,8.1624,BS_Basel_urban,193070.0,,6.19,1178.6,BS,0.382351226904471,328.0,85785.0
214,2017,1.8423,GE_Meyrin_suburban,489524.0,,6.19,1028.1,GE,0.327898143123734,991.0,302228.0
215,2017,1.8622,LU_Rigi_rural,403397.0,,6.19,1372.7,LU,0.38310145911096,1129.0,294700.0
216,2017,3.3776,NE_Chaumont_rural,178567.0,,6.19,1028.5,NE,0.212830151753606,261.0,122633.0
217,2017,1.0071,TG_Taenikon_rural,270709.0,,6.19,929.7,TG,0.404676845957365,930.0,229813.0
218,2017,-0.9664,TI_Lugano_urban,354375.0,,6.19,2011.5,TI,0.335693319474135,1027.0,305934.0
219,2017,-0.7166,VD_Lausanne_urban,784822.0,,6.19,1026.6,VD,0.307097792995589,1618.0,526868.0
220,2017,1.8542,VS_Saxon_rural,339176.0,,6.19,767.1,VS,0.58802829292325,1671.0,284170.0
221,2017,2.5858,ZH_Zuerich_urban,1487969.0,,6.19,986.8,ZH,0.615655606821825,5795.0,941273.0
222,2018,1.9068,BE_Bern_urban,1031080.0,20.12737668965517,6.88,993.4,BE,1.285108315693,9507.0,739782.0
223,2018,-0.426,BL_BaselBinningen_suburban,287023.0,13.529902754820936,6.88,921.6,BL,0.517806412074186,997.0,192543.0
224,2018,3.8083,BS_Basel_urban,193908.0,16.2967801369863,6.88,921.6,BS,0.485504878390365,416.0,85684.0
225,2018,3.338,GE_Meyrin_suburban,495249.0,15.822675623268696,6.88,1332.4,GE,0.418788982577453,1267.0,302539.0
226,2018,1.1087,LU_Rigi_rural,406506.0,6.406768536251709,6.88,1057.1,LU,0.44683114646132,1323.0,296085.0
227,2018,4.4176,NE_Chaumont_rural,177964.0,6.410777884615385,6.88,1146.7,NE,0.256152973903396,314.0,122583.0
228,2018,1.8766,TG_Taenikon_rural,273801.0,11.386715818431911,6.88,736.3,TG,0.472484118450869,1103.0,233447.0
229,2018,3.4376,TI_Lugano_urban,353709.0,17.067997252747254,6.88,1879.9,TI,0.3935124508519,1201.0,305200.0
230,2018,4.2925,VD_Lausanne_urban,793129.0,16.567716963064296,6.88,989.2,VD,0.379799697514654,2019.0,531596.0
