date,canton,GDP,Name
2013,VS,0.7648,VS_Saxon_rural
2014,VS,0.7065,VS_Saxon_rural
2015,VS,2.274,VS_Saxon_rural
2016,VS,0.6974,VS_Saxon_rural
2017,VS,1.8542,VS_Saxon_rural
2018,VS,3.8497,VS_Saxon_rural
2019,VS,2.0558,VS_Saxon_rural
2020,VS,-5.1087,VS_Saxon_rural
2021,VS,6.4278,VS_Saxon_rural
2022,VS,4.9676,VS_Saxon_rural
2023,VS,0.5241,VS_Saxon_rural
2024,VS,0.4114,VS_Saxon_rural
1998,ZH,3.8543,ZH_Zuerich_urban
1999,ZH,2.7424,ZH_Zuerich_urban
2000,ZH,5.2236,ZH_Zuerich_urban
2001,ZH,0.3755,ZH_Zuerich_urban
2002,ZH,-1.3761,ZH_Zuerich_urban
2003,ZH,-0.4054,ZH_Zuerich_urban
2004,ZH,2.389,ZH_Zuerich_urban
2005,ZH,3.1052,ZH_Zuerich_urban
2006,ZH,4.752,ZH_Zuerich_urban
2007,ZH,4.8781,ZH_Zuerich_urban
2008,ZH,1.6078,ZH_Zuerich_urban
2009,ZH,-1.8587,ZH_Zuerich_urban
2010,ZH,1.7347,ZH_Zuerich_urban
2011,ZH,0.8568,ZH_Zuerich_urban
2012,ZH,1.6332,ZH_Zuerich_urban
2013,ZH,1.9135,ZH_Zuerich_urban
2014,ZH,2.7983,ZH_Zuerich_urban
2015,ZH,1.7293,ZH_Zuerich_urban
2016,ZH,1.4892,ZH_Zuerich_urban
2017,ZH,2.5858,ZH_Zuerich_urban
2018,ZH,2.7968,ZH_Zuerich_urban
2019,ZH,0.2586,ZH_Zuerich_urban
2020,ZH,-2.1201,ZH_Zuerich_urban
2021,ZH,0.619,ZH_Zuerich_urban
2022,ZH,2.4925,ZH_Zuerich_urban
2023,ZH,0.8925,ZH_Zuerich_urban
2024,ZH,0.3067,ZH_Zuerich_urban
