year,canton,pop,Name
2001,Bern / Berne,943969,BE_Bern_urban
2001,Luzern,346473,LU_Rigi_rural
2001,Basel-Stadt,187422,BS_Basel_urban
2001,Basel-Landschaft,259634,BL_BaselBinningen_suburban
2001,Thurgau,227481,TG_Taenikon_rural
2001,Ticino,310834,TI_Lugano_urban
2001,Vaud,619097,VD_Lausanne_urban
2001,Valais / Wallis,276314,VS_Saxon_rural
2001,Neuchâtel,165456,NE_Chaumont_rural
2001,Genève,408146,GE_Meyrin_suburban
2002,Zürich,1226931,ZH_Zuerich_urban
2002,Bern / Berne,946253,BE_Bern_urban
2002,Luzern,350017,LU_Rigi_rural
2002,Basel-Stadt,186469,BS_Basel_urban
2002,Basel-Landschaft,261083,BL_BaselBinningen_suburban
2002,Thurgau,228206,TG_Taenikon_rural
2002,Ticino,312528,TI_Lugano_urban
2002,Vaud,624980,VD_Lausanne_urban
2002,Valais / Wallis,278419,VS_Saxon_rural
2002,Neuchâtel,166227,NE_Chaumont_rural
2002,Genève,413618,GE_Meyrin_suburban
2003,Zürich,1241312,ZH_Zuerich_urban
2003,Bern / Berne,949534,BE_Bern_urban
2003,Luzern,351889,LU_Rigi_rural
2003,Basel-Stadt,186719,BS_Basel_urban
2003,Basel-Landschaft,262949,BL_BaselBinningen_suburban
2003,Thurgau,229904,TG_Taenikon_rural
2003,Ticino,315256,TI_Lugano_urban
2003,Vaud,631039,VD_Lausanne_urban
2003,Valais / Wallis,281345,VS_Saxon_rural
2003,Neuchâtel,166767,NE_Chaumont_rural
2003,Genève,418747,GE_Meyrin_suburban
2004,Zürich,1249893,ZH_Zuerich_urban
2004,Bern / Berne,951903,BE_Bern_urban
2004,Luzern,353175,LU_Rigi_rural
2004,Basel-Stadt,186653,BS_Basel_urban
2004,Basel-Landschaft,264402,BL_BaselBinningen_suburban
2004,Thurgau,231836,TG_Taenikon_rural
2004,Ticino,317315,TI_Lugano_urban
2004,Vaud,639105,VD_Lausanne_urban
2004,Valais / Wallis,285008,VS_Saxon_rural
2004,Neuchâtel,167047,NE_Chaumont_rural
2004,Genève,423993,GE_Meyrin_suburban
2005,Zürich,1261810,ZH_Zuerich_urban
2005,Bern / Berne,955324,BE_Bern_urban
2005,Luzern,354731,LU_Rigi_rural
2005,Basel-Stadt,186753,BS_Basel_urban
2005,Basel-Landschaft,265305,BL_BaselBinningen_suburban
2005,Thurgau,232978,TG_Taenikon_rural
2005,Ticino,319931,TI_Lugano_urban
2005,Vaud,647382,VD_Lausanne_urban
2005,Valais / Wallis,287976,VS_Saxon_rural
2005,Neuchâtel,167910,NE_Chaumont_rural
2005,Genève,427396,GE_Meyrin_suburban
2006,Zürich,1272590,ZH_Zuerich_urban
2006,Bern / Berne,957013,BE_Bern_urban
2006,Luzern,356384,LU_Rigi_rural
2006,Basel-Stadt,185601,BS_Basel_urban
2006,Basel-Landschaft,266089,BL_BaselBinningen_suburban
2006,Thurgau,234332,TG_Taenikon_rural
2006,Ticino,322276,TI_Lugano_urban
2006,Vaud,654093,VD_Lausanne_urban
2006,Valais / Wallis,291575,VS_Saxon_rural
2006,Neuchâtel,168444,NE_Chaumont_rural
2006,Genève,430638,GE_Meyrin_suburban
2007,Zürich,1284052,ZH_Zuerich_urban
2007,Bern / Berne,958845,BE_Bern_urban
2007,Luzern,359110,LU_Rigi_rural
2007,Basel-Stadt,184822,BS_Basel_urban
2007,Basel-Landschaft,267166,BL_BaselBinningen_suburban
2007,Thurgau,235764,TG_Taenikon_rural
2007,Ticino,324851,TI_Lugano_urban
2007,Vaud,662145,VD_Lausanne_urban
2007,Valais / Wallis,294608,VS_Saxon_rural
2007,Neuchâtel,168912,NE_Chaumont_rural
2007,Genève,433235,GE_Meyrin_suburban
2008,Zürich,1307567,ZH_Zuerich_urban
2008,Bern / Berne,962932,BE_Bern_urban
2008,Luzern,363475,LU_Rigi_rural
2008,Basel-Stadt,185227,BS_Basel_urban
2008,Basel-Landschaft,269145,BL_BaselBinningen_suburban
2008,Thurgau,238316,TG_Taenikon_rural
2008,Ticino,328580,TI_Lugano_urban
2008,Vaud,672039,VD_Lausanne_urban
2008,Valais / Wallis,298580,VS_Saxon_rural
2008,Neuchâtel,169782,NE_Chaumont_rural
2008,Genève,438177,GE_Meyrin_suburban
2009,Zürich,1332727,ZH_Zuerich_urban
2009,Bern / Berne,969250,BE_Bern_urban
2009,Luzern,368742,LU_Rigi_rural
2009,Basel-Stadt,186672,BS_Basel_urban
2009,Basel-Landschaft,271214,BL_BaselBinningen_suburban
2009,Thurgau,241811,TG_Taenikon_rural
2009,Ticino,332736,TI_Lugano_urban
2009,Vaud,688245,VD_Lausanne_urban
2009,Valais / Wallis,303241,VS_Saxon_rural
2009,Neuchâtel,170924,NE_Chaumont_rural
2009,Genève,446106,GE_Meyrin_suburban
2010,Zürich,1351297,ZH_Zuerich_urban
2010,Bern / Berne,974186,BE_Bern_urban
2010,Luzern,372964,LU_Rigi_rural
2010,Basel-Stadt,187898,BS_Basel_urban
2010,Basel-Landschaft,272815,BL_BaselBinningen_suburban
2010,Thurgau,244805,TG_Taenikon_rural
2010,Ticino,335720,TI_Lugano_urban
2010,Vaud,701526,VD_Lausanne_urban
2010,Valais / Wallis,307392,VS_Saxon_rural
2010,Neuchâtel,171647,NE_Chaumont_rural
2010,Genève,453292,GE_Meyrin_suburban
2011,Zürich,1373068,ZH_Zuerich_urban
2011,Bern / Berne,979754,BE_Bern_urban
2011,Luzern,377610,LU_Rigi_rural
2011,Basel-Stadt,184950,BS_Basel_urban
2011,Basel-Landschaft,274404,BL_BaselBinningen_suburban
2011,Thurgau,248444,TG_Taenikon_rural
2011,Ticino,333753,TI_Lugano_urban
2011,Vaud,713281,VD_Lausanne_urban
2011,Valais / Wallis,312684,VS_Saxon_rural
2011,Neuchâtel,172085,NE_Chaumont_rural
2011,Genève,457715,GE_Meyrin_suburban
2012,Zürich,1392396,ZH_Zuerich_urban
2012,Bern / Berne,985000,BE_Bern_urban
2012,Luzern,381966,LU_Rigi_rural
2012,Basel-Stadt,186255,BS_Basel_urban
2012,Basel-Landschaft,275360,BL_BaselBinningen_suburban
2012,Thurgau,251973,TG_Taenikon_rural
2012,Ticino,336943,TI_Lugano_urban
2012,Vaud,725944,VD_Lausanne_urban
2012,Valais / Wallis,317022,VS_Saxon_rural
2012,Neuchâtel,173183,NE_Chaumont_rural
2012,Genève,460534,GE_Meyrin_suburban
2013,Zürich,1408575,ZH_Zuerich_urban
2013,Bern / Berne,992567,BE_Bern_urban
2013,Luzern,386082,LU_Rigi_rural
2013,Basel-Stadt,187425,BS_Basel_urban
2013,Basel-Landschaft,276537,BL_BaselBinningen_suburban
2013,Thurgau,256213,TG_Taenikon_rural
2013,Ticino,341652,TI_Lugano_urban
2013,Vaud,734356,VD_Lausanne_urban
2013,Valais / Wallis,321732,VS_Saxon_rural
2013,Neuchâtel,174554,NE_Chaumont_rural
2013,Genève,463101,GE_Meyrin_suburban
2014,Zürich,1425538,ZH_Zuerich_urban
2014,Bern / Berne,1001232,BE_Bern_urban
2014,Luzern,390349,LU_Rigi_rural
2014,Basel-Stadt,189335,BS_Basel_urban
2014,Basel-Landschaft,278656,BL_BaselBinningen_suburban
2014,Thurgau,260278,TG_Taenikon_rural
2014,Ticino,346539,TI_Lugano_urban
2014,Vaud,749373,VD_Lausanne_urban
2014,Valais / Wallis,327011,VS_Saxon_rural
2014,Neuchâtel,176402,NE_Chaumont_rural
2014,Genève,469433,GE_Meyrin_suburban
2015,Zürich,1446354,ZH_Zuerich_urban
2015,Bern / Berne,1009370,BE_Bern_urban
2015,Luzern,394604,LU_Rigi_rural
2015,Basel-Stadt,190580,BS_Basel_urban
2015,Basel-Landschaft,281301,BL_BaselBinningen_suburban
2015,Thurgau,263733,TG_Taenikon_rural
2015,Ticino,350363,TI_Lugano_urban
2015,Vaud,761446,VD_Lausanne_urban
2015,Valais / Wallis,331763,VS_Saxon_rural
2015,Neuchâtel,177327,NE_Chaumont_rural
2015,Genève,477385,GE_Meyrin_suburban
2016,Zürich,1466424,ZH_Zuerich_urban
2016,Bern / Berne,1017434,BE_Bern_urban
2016,Luzern,398762,LU_Rigi_rural
2016,Basel-Stadt,191817,BS_Basel_urban
2016,Basel-Landschaft,283231,BL_BaselBinningen_suburban
2016,Thurgau,267429,TG_Taenikon_rural
2016,Ticino,351946,TI_Lugano_urban
2016,Vaud,773407,VD_Lausanne_urban
2016,Valais / Wallis,335696,VS_Saxon_rural
2016,Neuchâtel,178107,NE_Chaumont_rural
2016,Genève,484736,GE_Meyrin_suburban
2017,Zürich,1487969,ZH_Zuerich_urban
2017,Bern / Berne,1026464,BE_Bern_urban
2017,Luzern,403397,LU_Rigi_rural
2017,Basel-Stadt,193070,BS_Basel_urban
2017,Basel-Landschaft,285624,BL_BaselBinningen_suburban
2017,Thurgau,270709,TG_Taenikon_rural
2017,Ticino,354375,TI_Lugano_urban
2017,Vaud,784822,VD_Lausanne_urban
2017,Valais / Wallis,339176,VS_Saxon_rural
2017,Neuchâtel,178567,NE_Chaumont_rural
2017,Genève,489524,GE_Meyrin_suburban
2018,Zürich,1504346,ZH_Zuerich_urban
2018,Bern / Berne,1031080,BE_Bern_urban
2018,Luzern,406506,LU_Rigi_rural
2018,Basel-Stadt,193908,BS_Basel_urban
2018,Basel-Landschaft,287023,BL_BaselBinningen_suburban
2018,Thurgau,273801,TG_Taenikon_rural
2018,Ticino,353709,TI_Lugano_urban
2018,Vaud,793129,VD_Lausanne_urban
2018,Valais / Wallis,341463,VS_Saxon_rural
2018,Neuchâtel,177964,NE_Chaumont_rural
2018,Genève,495249,GE_Meyrin_suburban
2019,Zürich,1520968,ZH_Zuerich_urban
2019,Bern / Berne,1034931,BE_Bern_urban
2019,Luzern,409557,LU_Rigi_rural
2019,Basel-Stadt,194766,BS_Basel_urban
2019,Basel-Landschaft,288132,BL_BaselBinningen_suburban
2019,Thurgau,276472,TG_Taenikon_rural
2019,Ticino,353343,TI_Lugano_urban
2019,Vaud,799145,VD_Lausanne_urban
2019,Valais / Wallis,343955,VS_Saxon_rural
2019,Neuchâtel,176850,NE_Chaumont_rural
2019,Genève,499480,GE_Meyrin_suburban
2020,Zürich,1539275,ZH_Zuerich_urban
2020,Bern / Berne,1039426,BE_Bern_urban
2020,Luzern,413120,LU_Rigi_rural
2020,Basel-Stadt,195844,BS_Basel_urban
2020,Basel-Landschaft,289468,BL_BaselBinningen_suburban
2020,Thurgau,279547,TG_Taenikon_rural
2020,Ticino,351491,TI_Lugano_urban
2020,Vaud,805098,VD_Lausanne_urban
2020,Valais / Wallis,345525,VS_Saxon_rural
2020,Neuchâtel,176496,NE_Chaumont_rural
2020,Genève,504128,GE_Meyrin_suburban
2021,Zürich,1553423,ZH_Zuerich_urban
2021,Bern / Berne,1043081,BE_Bern_urban
2021,Luzern,416347,LU_Rigi_rural
2021,Basel-Stadt,196735,BS_Basel_urban
2021,Basel-Landschaft,290969,BL_BaselBinningen_suburban
2021,Thurgau,282909,TG_Taenikon_rural
2021,Ticino,350986,TI_Lugano_urban
2021,Vaud,814762,VD_Lausanne_urban
2021,Valais / Wallis,348503,VS_Saxon_rural
2021,Neuchâtel,175894,NE_Chaumont_rural
2021,Genève,506343,GE_Meyrin_suburban
2022,Zürich,1564662,ZH_Zuerich_urban
2022,Bern / Berne,1047422,BE_Bern_urban
2022,Luzern,420326,LU_Rigi_rural
2022,Basel-Stadt,196036,BS_Basel_urban
2022,Basel-Landschaft,292817,BL_BaselBinningen_suburban
2022,Thurgau,285964,TG_Taenikon_rural
2022,Ticino,352181,TI_Lugano_urban
2022,Vaud,822968,VD_Lausanne_urban
2022,Valais / Wallis,353209,VS_Saxon_rural
2022,Neuchâtel,176166,NE_Chaumont_rural
2022,Genève,509448,GE_Meyrin_suburban
2023,Zürich,1579967,ZH_Zuerich_urban
2023,Bern / Berne,1051437,BE_Bern_urban
2023,Luzern,424851,LU_Rigi_rural
2023,Basel-Stadt,196786,BS_Basel_urban
2023,Basel-Landschaft,294417,BL_BaselBinningen_suburban
2023,Thurgau,289650,TG_Taenikon_rural
2023,Ticino,354023,TI_Lugano_urban
2023,Vaud,830431,VD_Lausanne_urban
2023,Valais / Wallis,357282,VS_Saxon_rural
2023,Neuchâtel,176571,NE_Chaumont_rural
2023,Genève,514114,GE_Meyrin_suburban
